Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Gabashvili T.,Stakhovsky S.,79,82.0,651,636.0,6.0,7.0,6.0,4.0,6.0,2.0,6.0,0.0,,,3.0,1.0,Completed,4.5,1.18,4.0,1.22,4.0,1.22,4.84,1.22,4.0,1.22,5.3,1.25,4.32,1.21
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Kavcic B.,Stepanek R.,99,44.0,559,995.0,6.0,7.0,4.0,6.0,6.0,1.0,2.0,0.0,,,1.0,2.0,Retired,3.5,1.28,3.4,1.3,3.75,1.25,3.66,1.33,3.75,1.25,3.75,1.36,3.46,1.3
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Bellucci T.,Reister J.,129,88.0,430,612.0,4.0,6.0,6.0,3.0,7.0,6.0,,,,,2.0,1.0,Retired,1.28,3.5,1.3,3.4,1.36,3.0,1.32,3.74,1.33,3.25,1.36,4.05,1.3,3.43
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Paire B.,Dancevic F.,28,122.0,1300,460.0,7.0,6.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,Completed,1.33,3.25,1.35,3.1,1.4,2.75,1.39,3.3,1.4,2.88,1.4,3.45,1.37,3.01
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Kyrgios N.,Becker B.,183,81.0,277,640.0,6.0,3.0,6.0,7.0,6.0,2.0,7.0,6.0,,,3.0,1.0,Completed,2.0,1.72,1.85,1.9,1.83,1.83,2.14,1.79,1.91,1.91,2.15,1.96,1.96,1.81
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Verdasco F.,Zhang Z.,33,253.0,1235,182.0,5.0,7.0,6.0,3.0,6.0,2.0,6.0,3.0,,,3.0,1.0,Completed,1.1,7.0,1.13,5.5,1.11,6.0,1.11,8.23,1.1,7.0,1.15,8.7,1.11,6.44
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Seppi A.,Hewitt L.,25,43.0,1360,1010.0,7.0,6.0,6.0,3.0,5.0,7.0,5.0,7.0,7.0,5.0,3.0,2.0,Completed,4.0,1.22,4.0,1.22,4.33,1.22,4.14,1.28,4.0,1.22,4.33,1.29,3.98,1.24
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Berrer M.,Llodra M.,144,102.0,391,541.0,6.0,4.0,7.0,5.0,6.0,1.0,,,,,3.0,0.0,Completed,1.61,2.2,1.6,2.3,1.67,2.1,1.7,2.29,1.73,2.1,1.74,2.38,1.65,2.2
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Bautista R.,Smyczek T.,62,90.0,750,600.0,6.0,2.0,6.0,1.0,6.0,1.0,,,,,3.0,0.0,Completed,1.22,4.0,1.3,3.4,1.33,3.25,1.28,4.1,1.29,3.5,1.34,4.2,1.28,3.6
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Del Potro J.M.,Williams R.,5,130.0,5415,428.0,6.0,7.0,6.0,3.0,6.0,4.0,6.0,4.0,,,3.0,1.0,Completed,1.01,26.0,1.02,12.0,1.03,12.0,,,1.02,13.0,1.03,30.25,1.02,15.04
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Millot V.,Odesnik W.,267,139.0,170,410.0,7.0,5.0,4.0,6.0,6.0,7.0,6.0,1.0,6.0,3.0,3.0,2.0,Completed,3.0,1.36,2.6,1.48,2.5,1.5,3.07,1.43,2.75,1.44,3.2,1.5,2.76,1.44
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Lopez F.,Devvarman S.,27,97.0,1310,579.0,6.0,4.0,6.0,4.0,7.0,6.0,,,,,3.0,0.0,Completed,1.2,4.33,1.22,4.0,1.2,4.33,1.24,4.54,1.22,4.0,1.27,4.65,1.23,4.09
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Young D.,Haase R.,91,45.0,595,977.0,6.0,7.0,7.0,6.0,6.0,2.0,1.0,0.0,,,2.0,1.0,Retired,2.2,1.61,2.15,1.68,2.1,1.67,2.21,1.75,2.2,1.67,2.35,1.75,2.2,1.66
