Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Kratochvil M.,Meligeni F.,42,68,6.0,4.0,6.0,1.0,6.0,2.0,,,,,3,0,Completed,,,1.3,3.4,1.25,3.2,1.2,3.3,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Kucera K.,Schalken S.,81,30,6.0,1.0,6.0,4.0,1.0,6.0,6.0,1.0,,,3,1,Completed,,,2.0,1.75,1.93,1.73,1.75,1.75,2.0,1.727
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Lapentti N.,Pretzsch A.,27,99,7.0,5.0,4.0,6.0,6.0,0.0,6.0,0.0,,,3,1,Completed,,,1.28,3.5,1.3,3.0,1.2,3.3,1.333,3.0
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Ljubicic I.,Ulihrach B.,37,38,6.0,7.0,1.0,6.0,6.0,4.0,7.0,6.0,9.0,7.0,3,2,Completed,,,1.7,2.1,1.82,1.82,1.75,1.75,1.8,1.909
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Malisse X.,Behrend T.,32,130,6.0,4.0,6.0,4.0,7.0,5.0,,,,,3,0,Completed,,,1.18,4.5,1.2,3.8,1.15,3.8,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Martin A.,Hewitt L.,39,1,1.0,6.0,6.0,1.0,6.0,4.0,7.0,6.0,,,3,1,Completed,,,5.75,1.12,6.0,1.07,5.0,1.05,6.0,1.111
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Martin T.,Sa A.,56,87,6.0,4.0,6.0,3.0,7.0,5.0,,,,,3,0,Completed,,,1.22,4.0,1.15,4.25,1.2,3.3,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Moya C.,Calleri A.,19,66,2.0,6.0,6.0,7.0,6.0,4.0,7.0,6.0,0.0,1.0,2,2,Retired,,,1.36,3.0,1.3,3.0,1.3,2.7,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Nalbandian D.,Vacek D.,46,377,7.0,6.0,3.0,6.0,6.0,3.0,6.0,3.0,,,3,1,Completed,,,1.3,3.3,1.3,3.0,1.25,3.0,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Novak J.,Kiefer N.,24,43,6.0,1.0,6.0,0.0,6.0,4.0,,,,,3,0,Completed,,,1.5,2.5,1.55,2.2,1.4,2.3,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Pavel A.,Squillari F.,29,53,6.0,4.0,6.0,3.0,3.0,6.0,6.0,2.0,,,3,1,Completed,,,1.22,4.0,1.2,3.8,1.2,3.3,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Philippoussis M.,Blanco G.,78,54,6.0,3.0,6.0,4.0,7.0,5.0,,,,,3,0,Completed,,,1.08,6.75,1.1,5.25,1.05,5.0,1.1,6.0
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Pless K.,Mirnyi M.,82,33,3.0,6.0,6.0,3.0,6.0,4.0,6.0,3.0,,,3,1,Completed,,,3.4,1.3,3.15,1.28,3.0,1.25,3.25,1.286
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Portas A.,Ilie A.,20,67,6.0,7.0,7.0,6.0,6.0,2.0,6.0,0.0,,,3,1,Completed,,,2.65,1.45,2.4,1.45,2.3,1.4,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Rios M.,Crabb J.,48,248,6.0,2.0,6.0,0.0,5.0,7.0,6.0,4.0,,,3,1,Completed,,,1.06,8.0,1.05,7.0,1.05,5.0,1.1,6.0
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Robredo T.,Russell M.,36,91,6.0,7.0,6.0,3.0,6.0,3.0,6.0,4.0,,,3,1,Completed,,,1.14,5.0,1.17,4.1,1.2,3.3,1.25,3.5
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Rochus C.,Sluiter R.,73,134,4.0,6.0,6.0,3.0,6.0,4.0,6.0,2.0,,,3,1,Completed,,,1.9,1.85,1.82,1.82,1.75,1.75,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Roddick A.,Zabaleta M.,15,62,6.0,3.0,5.0,7.0,6.0,3.0,6.0,3.0,,,3,1,Completed,,,1.14,5.25,1.1,5.25,1.1,4.5,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Rusedski G.,Draper S.,25,218,7.0,6.0,6.0,3.0,7.0,5.0,,,,,3,0,Completed,,,1.25,3.6,1.17,4.1,1.25,3.0,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Safin M.,Dupuis A.,11,86,7.0,5.0,6.0,4.0,6.0,2.0,,,,,3,0,Completed,,,1.16,5.0,1.15,4.4,1.15,3.8,1.167,4.5
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Sampras P.,Nieminen J.,10,60,6.0,3.0,6.0,3.0,6.0,4.0,,,,,3,0,Completed,,,1.07,7.5,1.07,6.0,1.05,5.0,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Savolt A.,Patience O.,93,272,6.0,3.0,3.0,6.0,6.0,3.0,3.0,6.0,6.0,4.0,3,2,Completed,,,,,,,,,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Schuettler R.,Mathieu P.H.,41,142,2.0,6.0,6.0,1.0,4.0,6.0,6.0,1.0,6.0,4.0,3,2,Completed,,,1.22,4.0,1.3,3.0,1.25,3.0,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Simoni A.,Fukarek O.,108,105,4.0,6.0,7.0,5.0,6.0,2.0,6.0,7.0,7.0,5.0,3,2,Completed,,,2.15,1.67,2.1,1.6,1.85,1.65,2.1,1.667
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Vicente F.,Carlsen K.,50,145,2.0,6.0,2.0,6.0,6.0,4.0,6.0,4.0,10.0,8.0,3,2,Completed,,,1.85,1.9,1.87,1.78,1.65,1.85,1.909,1.8
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Vinciguerra A.,Luzzi F.,35,95,6.0,2.0,6.0,2.0,7.0,6.0,,,,,3,0,Completed,,,1.36,3.0,1.27,3.2,1.3,2.7,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Voinea A.,Sanchez D.,107,74,5.0,7.0,6.0,2.0,7.0,6.0,6.0,2.0,,,3,1,Completed,,,1.6,2.3,1.52,2.25,1.4,2.3,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Voltchkov V.,Mamiit C.,128,109,3.0,6.0,6.0,3.0,6.0,3.0,6.0,3.0,,,3,1,Completed,,,2.3,1.58,2.25,1.52,2.0,1.55,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Youzhny M.,Llodra M.,58,84,6.0,7.0,6.0,2.0,6.0,2.0,6.0,3.0,,,3,1,Completed,,,1.42,2.75,1.6,2.1,1.65,1.85,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Bjorkman J.,Enqvist T.,64,28,3.0,6.0,7.0,5.0,6.0,4.0,6.0,2.0,,,3,1,Completed,,,2.9,1.38,2.5,1.42,2.3,1.4,2.625,1.444
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Canas G.,Delgado R.,14,88,6.0,2.0,7.0,5.0,6.0,7.0,6.0,4.0,,,3,1,Completed,,,1.18,4.65,1.14,4.45,1.1,4.5,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Clavet F.,Grosjean S.,61,7,6.0,4.0,3.0,6.0,6.0,0.0,5.0,7.0,6.0,4.0,3,2,Completed,,,3.7,1.25,3.0,1.3,2.7,1.3,3.5,1.25
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Costa A.,Black B.,40,215,6.0,1.0,6.0,4.0,6.0,4.0,,,,,3,0,Completed,,,1.33,3.2,1.46,2.4,1.4,2.3,1.5,2.5
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Dent T.,Vinciguerra A.,129,35,6.0,3.0,6.0,4.0,6.0,2.0,,,,,3,0,Completed,,,1.4,2.85,1.45,2.45,1.4,2.3,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,El Aynaoui Y.,Vicente F.,23,50,4.0,6.0,6.0,3.0,6.0,3.0,6.0,3.0,,,3,1,Completed,,,1.25,3.75,1.15,4.4,1.15,3.8,1.25,3.5
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Escude N.,Calatrava A.,31,98,2.0,6.0,2.0,6.0,6.0,4.0,7.0,5.0,6.0,4.0,3,2,Completed,,,1.25,3.75,1.17,4.1,1.2,3.3,1.2,4.0
