Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Majchrzak K.,Seppi A.,107,101.0,708,736.0,6.0,1.0,6.0,1.0,7.0,5.0,,,,,3.0,0.0,Completed,1.61,2.3,1.65,2.38,1.75,2.42,1.64,2.26
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,De Minaur A.,Musetti L.,42,60.0,1316,1004.0,3.0,6.0,6.0,3.0,6.0,0.0,6.0,3.0,,,3.0,1.0,Completed,1.14,5.5,1.18,5.73,1.19,6.19,1.15,5.37
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Kyrgios N.,Broady L.,115,128.0,648,569.0,6.0,4.0,6.0,4.0,6.0,3.0,,,,,3.0,0.0,Completed,1.5,2.62,1.52,2.68,1.54,2.8,1.49,2.61
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Tsitsipas S.,Ymer M.,4,86.0,6540,793.0,6.0,2.0,6.0,4.0,6.0,3.0,,,,,3.0,0.0,Completed,1.2,4.5,1.2,5.16,1.22,6.0,1.17,5.06
ATP,2022,5,Melbourne,Australian Open,2022-01-19,Grand Slam,Outdoor,Hard,2nd Round,5.0,Sonego L.,Otte O.,26,96.0,1860,748.0,2.0,6.0,6.0,2.0,6.0,3.0,6.0,1.0,,,3.0,1.0,Completed,1.44,2.75,1.43,3.05,1.48,3.11,1.42,2.88
ATP,2022,5,Melbourne,Australian Open,2022-01-19,Grand Slam,Outdoor,Hard,2nd Round,5.0,Kecmanovic M.,Paul T.,77,41.0,836,1317.0,7.0,6.0,7.0,5.0,7.0,6.0,,,,,3.0,0.0,Completed,3.0,1.4,2.84,1.49,3.28,1.49,2.9,1.41
ATP,2022,5,Melbourne,Australian Open,2022-01-19,Grand Slam,Outdoor,Hard,2nd Round,5.0,Carreno Busta P.,Griekspoor T.,21,62.0,2305,1001.0,6.0,3.0,6.0,7.0,7.0,6.0,3.0,6.0,6.0,4.0,3.0,2.0,Completed,1.4,3.0,1.43,3.05,1.45,3.15,1.4,2.96
ATP,2022,5,Melbourne,Australian Open,2022-01-19,Grand Slam,Outdoor,Hard,2nd Round,5.0,Opelka R.,Koepfer D.,29,53.0,1776,1096.0,6.0,4.0,6.0,3.0,7.0,6.0,,,,,3.0,0.0,Completed,1.3,3.5,1.31,3.82,1.36,3.85,1.32,3.37
ATP,2022,5,Melbourne,Australian Open,2022-01-19,Grand Slam,Outdoor,Hard,2nd Round,5.0,Korda S.,Moutet C.,43,100.0,1286,737.0,3.0,6.0,6.0,4.0,6.0,7.0,7.0,5.0,7.0,6.0,3.0,2.0,Completed,1.33,3.4,1.34,3.56,1.37,3.58,1.33,3.35
ATP,2022,5,Melbourne,Australian Open,2022-01-19,Grand Slam,Outdoor,Hard,2nd Round,5.0,Shapovalov D.,Kwon S.W.,14,54.0,2593,1085.0,7.0,6.0,6.0,7.0,6.0,7.0,7.0,5.0,6.0,2.0,3.0,2.0,Completed,1.25,4.0,1.19,5.35,1.25,5.35,1.2,4.63
ATP,2022,5,Melbourne,Australian Open,2022-01-19,Grand Slam,Outdoor,Hard,2nd Round,5.0,Nadal R.,Hanfmann Y.,5,126.0,4875,583.0,6.0,2.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,Completed,1.03,15.0,1.01,26.57,1.03,30.0,1.01,18.96
ATP,2022,5,Melbourne,Australian Open,2022-01-19,Grand Slam,Outdoor,Hard,2nd Round,5.0,Alcaraz C.,Lajovic D.,31,39.0,1609,1346.0,6.0,2.0,6.0,1.0,7.0,5.0,,,,,3.0,0.0,Completed,1.12,6.0,1.12,7.65,1.15,7.75,1.11,6.73
ATP,2022,5,Melbourne,Australian Open,2022-01-19,Grand Slam,Outdoor,Hard,2nd Round,5.0,Berrettini M.,Kozlov S.,7,169.0,4568,401.0,6.0,1.0,4.0,6.0,6.0,4.0,6.0,1.0,,,3.0,1.0,Completed,1.06,10.0,1.12,7.78,1.12,10.0,1.08,8.21
ATP,2022,5,Melbourne,Australian Open,2022-01-19,Grand Slam,Outdoor,Hard,2nd Round,5.0,Garin C.,Martinez P.,19,61.0,2375,1001.0,6.0,7.0,7.0,6.0,2.0,6.0,6.0,2.0,6.0,2.0,3.0,2.0,Completed,1.9,1.9,1.96,1.85,2.1,2.0,1.96,1.85
ATP,2022,5,Melbourne,Australian Open,2022-01-19,Grand Slam,Outdoor,Hard,2nd Round,5.0,Albot R.,Vukic A.,124,144.0,587,477.0,6.0,4.0,7.0,6.0,6.0,4.0,,,,,3.0,0.0,Completed,2.5,1.53,2.62,1.56,2.78,1.56,2.59,1.5
