Tour,Year,WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
WTA,2023,5,Melbourne,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Wang Xin.,Sanders S.,79.0,239.0,768.0,263.0,7.0,6.0,6.0,4.0,,,2.0,0.0,Completed,1.62,2.3,1.62,2.43,1.83,2.43,1.63,2.3
WTA,2023,5,Melbourne,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Keys M.,Blinkova A.,13.0,60.0,2318.0,922.0,6.0,4.0,3.0,6.0,6.0,2.0,2.0,1.0,Completed,1.22,4.33,1.23,4.67,1.25,4.67,1.22,4.27
WTA,2023,5,Melbourne,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Rogers S.,Hartono A.,51.0,240.0,1002.0,263.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.14,5.5,1.16,5.89,1.16,6.5,1.15,5.58
WTA,2023,5,Melbourne,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Schmiedlova A.,Trevisan M.,105.0,21.0,603.0,1672.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.91,1.91,2.0,1.89,2.1,1.91,1.95,1.86
WTA,2023,5,Melbourne,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Alexandrova E.,Bonaventure Y.,18.0,90.0,1910.0,694.0,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.4,3.0,1.35,3.43,1.4,3.43,1.37,3.08
WTA,2023,5,Melbourne,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Giorgi C.,Pavlyuchenkova A.,70.0,364.0,836.0,142.0,6.0,0.0,6.0,1.0,,,2.0,0.0,Completed,1.8,2.0,1.75,2.19,1.87,2.21,1.74,2.1
WTA,2023,5,Melbourne,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Fernandez L.A.,Cornet A.,40.0,34.0,1198.0,1347.0,7.0,5.0,6.0,2.0,,,2.0,0.0,Completed,1.57,2.38,1.64,2.4,1.7,2.43,1.6,2.35
WTA,2023,5,Melbourne,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Mertens E.,Muguruza G.,32.0,73.0,1449.0,824.0,3.0,6.0,7.0,6.0,6.0,1.0,2.0,1.0,Completed,2.0,1.8,2.05,1.85,2.15,1.85,2.06,1.78
WTA,2023,5,Melbourne,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Birrell K.,Kanepi K.,167.0,29.0,374.0,1472.0,3.0,6.0,7.0,6.0,6.0,1.0,2.0,1.0,Completed,5.5,1.14,5.25,1.19,5.75,1.2,5.2,1.17
WTA,2023,5,Melbourne,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Townsend T.,Parry D.,135.0,107.0,471.0,590.0,6.0,1.0,6.0,1.0,,,2.0,0.0,Completed,1.44,2.75,1.54,2.64,1.55,2.92,1.5,2.61
WTA,2023,5,Melbourne,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Sabalenka A.,Martincova T.,5.0,74.0,4340.0,800.0,6.0,1.0,6.0,4.0,,,2.0,0.0,Completed,1.08,8.0,1.09,9.06,1.11,9.06,1.09,7.59
WTA,2023,5,Melbourne,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Fruhvirtova L.,Fourlis J.,82.0,160.0,746.0,389.0,6.0,0.0,6.0,4.0,,,2.0,0.0,Completed,1.25,4.0,1.31,3.79,1.31,4.21,1.27,3.77
WTA,2023,5,Melbourne,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Garcia C.,Sebov K.,4.0,190.0,4415.0,338.0,6.0,3.0,6.0,0.0,,,2.0,0.0,Completed,1.11,6.5,1.15,6.48,1.16,7.0,1.12,6.23
WTA,2023,5,Melbourne,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Volynets K.,Rodina E.,113.0,445.0,556.0,101.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.36,3.2,1.36,3.4,1.39,3.5,1.35,3.24
WTA,2023,5,Melbourne,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Kontaveit A.,Grabher J.,19.0,85.0,1909.0,744.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.08,8.0,1.09,9.3,1.09,9.5,1.08,8.07
WTA,2023,5,Melbourne,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Pliskova Ka.,Wang Xiy.,31.0,53.0,1450.0,993.0,6.0,1.0,6.0,3.0,,,2.0,0.0,Completed,1.29,3.75,1.31,3.76,1.31,3.9,1.29,3.64
WTA,2023,5,Melbourne,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Kudermetova V.,Zanevska M.,9.0,80.0,2800.0,762.0,6.0,2.0,7.0,6.0,,,2.0,0.0,Completed,1.17,5.0,1.18,5.53,1.19,5.72,1.17,5.1
WTA,2023,5,Melbourne,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Martic P.,Golubic V.,37.0,83.0,1237.0,744.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.73,2.1,1.77,2.15,1.78,2.2,1.73,2.12
WTA,2023,5,Melbourne,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Samsonova L.,Paolini J.,20.0,66.0,1905.0,867.0,6.0,2.0,6.0,4.0,,,2.0,0.0,Completed,1.14,5.5,1.19,5.27,1.19,5.6,1.17,5.17
WTA,2023,5,Melbourne,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Putintseva Y.,Cirstea S.,47.0,42.0,1054.0,1136.0,2.0,6.0,6.0,4.0,6.0,3.0,2.0,1.0,Completed,2.1,1.73,2.1,1.81,2.21,1.83,2.1,1.74
WTA,2023,5,Melbourne,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Jabeur O.,Zidansek T.,2.0,98.0,5140.0,617.0,7.0,6.0,4.0,6.0,6.0,1.0,2.0,1.0,Completed,1.1,7.0,1.12,7.6,1.13,7.6,1.11,6.84
