Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Ulihrach B.,Phau B.,96,218,6.0,4.0,6.0,1.0,5.0,7.0,6.0,4.0,,,3,1,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Vanek J.,Berasategui A.,88,83,6.0,1.0,6.0,1.0,6.0,7.0,5.0,7.0,6.0,1.0,3,2,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Vicente F.,Mirnyi M.,31,57,3.0,6.0,5.0,7.0,6.0,3.0,6.0,4.0,6.0,4.0,3,2,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Vinck C.,Behrend T.,195,113,6.0,1.0,6.0,4.0,6.0,4.0,,,,,3,0,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Zabaleta M.,Levy H.,46,147,7.0,5.0,6.0,7.0,6.0,4.0,6.0,4.0,,,3,1,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Arazi H.,Hipfl M.,28,105,6.0,3.0,3.0,6.0,5.0,7.0,6.0,2.0,6.0,1.0,3,2,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Calleri A.,Hrbaty D.,102,14,6.0,7.0,6.0,1.0,6.0,4.0,6.0,4.0,,,3,1,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Chang M.,Johansson T.,33,62,7.0,6.0,7.0,6.0,2.0,6.0,6.0,3.0,,,3,1,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Corretja A.,Meligeni F.,10,42,4.0,6.0,6.0,3.0,6.0,3.0,4.0,6.0,6.0,3.0,3,2,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Costa A.,Gumy H.,18,93,4.0,6.0,6.0,3.0,7.0,5.0,1.0,0.0,,,2,1,Retired
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,El Aynaoui Y.,Chela J.I.,15,56,6.0,3.0,6.0,4.0,6.0,0.0,,,,,3,0,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Enqvist T.,Gaudio G.,7,47,6.0,3.0,6.0,2.0,6.0,0.0,,,,,3,0,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Federer R.,Gambill J.M.,54,69,7.0,6.0,6.0,3.0,6.0,3.0,,,,,3,0,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Ferreira W.,Coria G.,48,295,6.0,3.0,6.0,1.0,4.0,6.0,7.0,5.0,,,3,1,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Ferrero J.C.,Dosedel S.,16,55,1.0,6.0,2.0,6.0,6.0,2.0,6.0,4.0,6.0,4.0,3,2,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Grosjean S.,Browne F.,34,123,6.0,1.0,6.0,3.0,2.0,6.0,6.0,7.0,6.0,2.0,3,2,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Haas T.,Gaudenzi A.,21,74,4.0,6.0,3.0,6.0,7.0,6.0,7.0,6.0,6.0,1.0,3,2,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Henman T.,Vinck C.,13,195,6.0,2.0,6.0,4.0,7.0,6.0,,,,,3,0,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Hewitt L.,Hantschk M.,9,94,2.0,6.0,6.0,3.0,3.0,6.0,6.0,2.0,6.0,3.0,3,2,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Kafelnikov Y.,Zabaleta M.,4,46,6.0,2.0,3.0,6.0,6.0,7.0,6.0,4.0,6.0,4.0,3,2,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Krajicek R.,Eschauer W.,36,209,7.0,5.0,6.0,3.0,7.0,5.0,,,,,3,0,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Kratochvil M.,Stanoytchev O.,120,104,6.0,7.0,7.0,5.0,6.0,2.0,6.0,1.0,,,3,1,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Kucera K.,Agassi A.,40,1,2.0,6.0,7.0,5.0,6.0,1.0,6.0,0.0,,,3,1,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Kuerten G.,Charpentier M.,5,230,7.0,6.0,6.0,2.0,6.0,2.0,,,,,3,0,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Lapentti N.,Ulihrach B.,11,96,7.0,6.0,6.0,3.0,6.0,7.0,6.0,3.0,,,3,1,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Medvedev A.,Rosset M.,20,37,6.0,1.0,6.0,2.0,6.0,2.0,,,,,3,0,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Norman M.,Santoro F.,3,29,6.0,1.0,6.0,4.0,6.0,2.0,,,,,3,0,Completed
