Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Murray A.,Pavel A.,4,1141.0,7190,10.0,6.0,2.0,3.0,1.0,,,,,,,1.0,0.0,Retired,1.0,21.0,1.01,16.0,1.002,34.0,1.004,26.0,1.01,40.0
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Melzer J.,Nishikori K.,32,59.0,1868,1325.0,7.0,5.0,6.0,2.0,6.0,1.0,,,,,3.0,0.0,Completed,1.83,1.83,1.95,1.85,1.833,1.833,1.833,1.833,1.82,1.95
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Almagro N.,Massu N.,18,84.0,2540,1010.0,6.0,4.0,6.0,4.0,3.0,6.0,5.0,7.0,6.0,3.0,3.0,2.0,Completed,1.28,3.5,1.25,3.9,1.286,3.5,1.333,3.2,1.3,3.4
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Fognini F.,Golubev A.,88,93.0,986,966.0,3.0,6.0,7.0,6.0,6.0,4.0,6.0,2.0,,,3.0,1.0,Completed,2.37,1.53,2.7,1.48,2.375,1.533,2.625,1.5,2.4,1.54
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Granollers M.,Gabashvili T.,51,64.0,1444,1226.0,6.0,4.0,7.0,6.0,4.0,6.0,6.0,0.0,,,3.0,1.0,Completed,1.57,2.25,1.72,2.1,1.571,2.25,1.571,2.25,1.6,2.28
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Ancic M.,Odesnik W.,36,115.0,1805,862.0,7.0,5.0,6.0,4.0,4.0,6.0,6.0,2.0,,,3.0,1.0,Completed,1.12,5.5,1.19,4.76,1.167,4.5,1.167,4.5,,
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Istomin D.,Spadea V.,105,82.0,910,1038.0,6.0,2.0,7.0,5.0,6.0,4.0,,,,,3.0,0.0,Completed,1.9,1.8,2.1,1.72,2.2,1.615,2.1,1.667,2.0,1.77
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Karlovic I.,Gimeno-Traver D.,26,91.0,2295,976.0,6.0,3.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,1.08,7.0,1.1,6.75,1.125,5.5,1.1,6.5,1.1,6.5
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Beck A.,Ebelthite C.,103,254.0,926,300.0,7.0,5.0,6.0,1.0,6.0,0.0,,,,,3.0,0.0,Completed,1.22,4.0,1.27,3.81,1.286,3.5,1.25,3.5,1.27,3.6
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Sela D.,Schuettler R.,106,31.0,908,1924.0,1.0,6.0,6.0,2.0,6.0,4.0,6.0,4.0,,,3.0,1.0,Completed,1.9,1.8,1.9,1.9,1.833,1.833,1.833,1.833,2.0,1.77
