date,tournament,winner,loser
2026-08-25,US Open,Muller A.,Djere L.
2026-08-25,US Open,Sakamoto R.,Clarke J.
2026-08-25,US Open,Shubladze A.,Sobolieva A.
2026-08-25,US Open,Semenistaja D.,Kinoshita H.
2026-08-25,US Open,Hunter S.,Inglis M.
2026-08-25,US Open,Stoiana M.,Tan H.
2026-08-25,US Open,Swan K.,Scott K.
2026-08-25,US Open,Ku Y.,Sharma A.
2026-08-25,US Open,Avdeeva J.,Sebov K.
2026-08-25,US Open,Jones F.,Brancaccio N.
2026-08-25,US Open,Barthel M.,Osuigwe W.
2026-08-25,US Open,Garland J.,Romero Gormaz L.
2026-08-25,US Open,Bassols Ribera M.,Astakhova D.
2026-08-25,US Open,Liutova K.,Prozorova T.
2026-08-25,US Open,Hon P.,Tubello A.
2026-08-25,US Open,Radivojevic L.,Rinaldo Persson K.
2026-08-25,US Open,Kubka M.,Penickova A.
2026-08-25,US Open,Siskova A.,Noha Akugue N.
2026-08-25,US Open,Hruncakova V.,Riera J.
2026-08-25,US Open,Rus A.,Kostovic T.
2026-08-25,US Open,Bandecchi S.,Charaeva A.
2026-08-25,US Open,Lamens S.,Jones E.
2026-08-25,US Open,Dart H.,Hazelitt J.
2026-08-25,US Open,Uchijima M.,Hercog P.
2026-08-25,US Open,Zidansek T.,Samson L.
2026-08-25,US Open,Maristany Zuleta De Reales G.,Burrage J.
2026-08-25,US Open,Hibino N.,Preston J.
2026-08-25,US Open,Havlickova L.,Yaneva E.
2026-08-25,US Open,Penickova K.,Mandlik E.
2026-08-25,US Open,Andreescu B.,Vedder E.
2026-08-25,US Open,Knutson G.,Lepchenko V.
2026-08-25,US Open,Podrez V.,Dolehide C.
2026-08-25,US Open,Salkova D.,Urhobo A.
2026-08-26,US Open,Draxl L.,Johnson A.
2026-08-26,US Open,Yunchaokete B.,Gojo B.
2026-08-26,US Open,Harris L.,Rocha H.
2026-08-26,US Open,Nishikori K.,Antonius M.
2026-08-26,US Open,Piros Z.,Glinka D.
2026-08-26,US Open,O Connell C.,Budkov Kjaer N.
2026-08-26,US Open,Gaston H.,Ilagan A.
2026-08-26,US Open,Sakamoto R.,Muller A.
2026-08-26,US Open,Basavareddy N.,Mikrut L.
2026-08-26,US Open,Passaro F.,Gentzsch T.
2026-08-26,US Open,Svrcina D.,Galarneau A.
2026-08-26,US Open,Mochizuki S.,Shick B.
2026-08-26,US Open,Gea A.,Chidekh C.
2026-08-26,US Open,McDonald M.,Seyboth Wild T.
2026-08-26,US Open,Samuel T.,Harris B.
2026-08-26,US Open,Wendelken H.,Bertola R.
2026-08-26,US Open,Lajovic D.,Jorda Sanchis D.
2026-08-26,US Open,Virtanen O.,Pinnington Jones J.
2026-08-26,US Open,Garin C.,Ymer E.
2026-08-26,US Open,Dimitrov G.,Skatov T.
2026-08-26,US Open,Wong C.,Neumayer L.
2026-08-26,US Open,Gaubas V.,Cecchinato M.
2026-08-26,US Open,Fearnley J.,Pavlovic L.
2026-08-26,US Open,Rodionov J.,Silva F.
2026-08-26,US Open,Rincon D.,Lee J.
2026-08-26,US Open,Barrios Vera M.,Olivieri G.
2026-08-26,US Open,Dougaz A.,Jacquet K.
2026-08-26,US Open,Guerrieri A.,Schwaerzler J.
2026-08-26,US Open,Draxl L.,Mejia N.
2026-08-26,US Open,Schoolkate T.,Secord J.
2026-08-26,US Open,Hong S.,Basilashvili N.
2026-08-26,US Open,Johnson A.,Daniel T.
2026-08-26,US Open,Dellien H.,Echargui M.
2026-08-26,US Open,Kubka M.,Bassols Ribera M.
2026-08-26,US Open,Hibino N.,Siskova A.
2026-08-26,US Open,Jones F.,Barthel M.
2026-08-26,US Open,Zidansek T.,Maristany Zuleta De Reales G.
2026-08-26,US Open,Watson H.,Fita Boluda A.
2026-08-26,US Open,Stoiana M.,Swan K.
2026-08-26,US Open,Andreescu B.,Podrez V.
2026-08-26,US Open,Rus A.,Lamens S.
2026-08-26,US Open,Yuan Y.,Avdeeva J.
2026-08-26,US Open,Havlickova L.,Uchijima M.
2026-08-26,US Open,Sakatsume H.,Grant T.
2026-08-26,US Open,Dart H.,Penickova K.
2026-08-26,US Open,Bandecchi S.,Hruncakova V.
2026-08-26,US Open,Ristic M.,Jorge F.
2026-08-26,US Open,Stefanini L.,Brengle M.
2026-08-26,US Open,Pareja J.,Shymanovich I.
2026-08-26,US Open,Gorgodze E.,Papamichail D.
2026-08-26,US Open,Knutson G.,Salkova D.
2026-08-26,US Open,Zheng Q.,Burel C.
2026-08-26,US Open,Koevermans A.,Klimovicova L.
2026-08-26,US Open,Branstine C.,Fruhvirtova L.
2026-08-26,US Open,Lazaro Garcia A.,Hontama M.
2026-08-26,US Open,Iatcenko P.,Bronzetti L.
2026-08-26,US Open,Pridankina E.,Marino R.
2026-08-26,US Open,Bolkvadze M.,Ibragimova A.
2026-08-26,US Open,Montgomery R.,Vandromme J.
2026-08-26,US Open,Sasnovich A.,Galfi D.
2026-08-26,US Open,Yuan Y.,Guo H.
2026-08-26,US Open,Valdmannova V.,Carle M.
2026-08-26,US Open,Kalieva E.,Mladenovic K.
2026-08-26,US Open,Costoulas S.,Ruggeri J.
2026-08-27,US Open,Dimitrov G.,Virtanen O.
2026-08-27,US Open,Guerrieri A.,Dougaz A.
2026-08-27,US Open,Samuel T.,Garin C.
2026-08-27,US Open,Barrios Vera M.,Rincon D.
2026-08-27,US Open,Wong C.,Lajovic D.
2026-08-27,US Open,Smith C.,Kym J.
2026-08-27,US Open,Schoolkate T.,Hong S.
2026-08-27,US Open,Cina F.,Dellien H.
2026-08-27,US Open,Llamas Ruiz P.,Sachko V.
2026-08-27,US Open,Knutson G.,Gorgodze E.
2026-08-27,US Open,Iatcenko P.,Lazaro Garcia A.
2026-08-27,US Open,Montgomery R.,Branstine C.
2026-08-27,US Open,Stefanini L.,Pareja J.
2026-08-27,US Open,Semenistaja D.,Shubladze A.
2026-08-27,US Open,Kalieva E.,Costoulas S.
2026-08-27,US Open,Valdmannova V.,Sasnovich A.
2026-08-27,US Open,Liutova K.,Radivojevic L.
2026-08-27,US Open,Garland J.,Hon P.
2026-08-27,US Open,Hunter S.,Ku Y.
2026-08-28,US Open,Cina F.,Yunchaokete B.
2026-08-28,US Open,Gaston H.,Smith C.
2026-08-28,US Open,Sakamoto R.,Nishikori K.
2026-08-28,US Open,Schoolkate T.,Draxl L.
2026-08-28,US Open,Svrcina D.,McDonald M.
2026-08-28,US Open,Rodionov J.,Fearnley J.
2026-08-28,US Open,Piros Z.,O Connell C.
2026-08-28,US Open,Basavareddy N.,Gea A.
2026-08-28,US Open,Passaro F.,Mochizuki S.
2026-08-28,US Open,Wendelken H.,Gaubas V.
2026-08-28,US Open,Harris L.,Llamas Ruiz P.
2026-08-28,US Open,Kalieva E.,Valdmannova V.
2026-08-28,US Open,Stoiana M.,Yuan Y.
2026-08-28,US Open,Jones F.,Garland J.
2026-08-28,US Open,Sakatsume H.,Ristic M.
2026-08-28,US Open,Dart H.,Watson H.
2026-08-28,US Open,Rus A.,Bandecchi S.
2026-08-28,US Open,Zidansek T.,Andreescu B.
2026-08-28,US Open,Havlickova L.,Hibino N.
2026-08-28,US Open,Koevermans A.,Bolkvadze M.
2026-08-28,US Open,Zheng Q.,Pridankina E.
2026-08-28,US Open,Liutova K.,Kubka M.
2026-08-28,US Open,Hunter S.,Semenistaja D.
2026-08-30,US Open,Etcheverry T.,Kopriva V.
2026-08-30,US Open,Shapovalov D.,Kecmanovic M.
2026-08-30,US Open,Samuel T.,Machac T.
2026-08-30,US Open,Faria J.,Brooksby J.
2026-08-30,US Open,Medvedev D.,Gaston H.
2026-08-30,US Open,Van Assche L.,Norrie C.
2026-08-30,US Open,Paul T.,Wong C.
2026-08-30,US Open,Munar J.,Atmane T.
2026-08-30,US Open,Harris L.,Kennedy J.
2026-08-30,US Open,Prizmic D.,Shevchenko A.
2026-08-30,US Open,Lehecka J.,Carreno Busta P.
2026-08-30,US Open,Merida Aguilar D.,Fucsovics M.
2026-08-30,US Open,Majchrzak K.,Medjedovic H.
2026-08-30,US Open,Rinderknech A.,Shimabukuro S.
2026-08-30,US Open,Wu Y.,Walton A.
2026-08-30,US Open,Preston T.,Parks A.
2026-08-30,US Open,Boulter K.,Lee C.
2026-08-30,US Open,Alexandrova E.,Kessler M.
2026-08-30,US Open,Pliskova K.,Vandewinkel H.
2026-08-30,US Open,Wang X.,Arango E.
2026-08-30,US Open,Stefanini L.,Yastremska D.
2026-08-30,US Open,Kostyuk M.,Hunter S.
2026-08-30,US Open,Tararudee L.,Kalieva E.
2026-08-30,US Open,Fernandez L.,Zhang S.
2026-08-30,US Open,Pegula J.,Ruse E.
2026-08-30,US Open,Iatcenko P.,Zarazua R.
2026-08-30,US Open,Vekic D.,Gibson T.
2026-08-30,US Open,Paolini J.,Erjavec V.
2026-08-30,US Open,Rakhimova K.,Krejcikova B.
2026-08-31,US Open,Khachanov K.,Burruchaga R.
2026-08-31,US Open,Trungelliti M.,Shang J.
2026-08-31,US Open,Blockx A.,Barrios Vera M.
2026-08-31,US Open,Tabilo A.,Hanfmann Y.
2026-08-31,US Open,Berrettini M.,Wawrinka S.
2026-08-31,US Open,Darderi L.,Wendelken H.
2026-08-31,US Open,Nakashima B.,Baez S.
2026-08-31,US Open,Sakamoto R.,Vukic A.
2026-08-31,US Open,Hurkacz H.,Dzumhur D.
2026-08-31,US Open,Svrcina D.,Royer V.
2026-08-31,US Open,Michelsen A.,Cina F.
2026-08-31,US Open,Fearnley J.,Landaluce M.
2026-08-31,US Open,Alcaraz C.,Safiullin R.
2026-08-31,US Open,Rodionov J.,Mpetshi Perricard G.
2026-08-31,US Open,Gorzny S.,Collignon R.
2026-08-31,US Open,Duckworth J.,Arnaldi M.
2026-08-31,US Open,Mannarino A.,Tirante T.
2026-08-31,US Open,Tsitsipas S.,Fils A.
2026-08-31,US Open,Rublev A.,Virtanen O.
2026-08-31,US Open,Vacherot V.,Kovacevic A.
2026-08-31,US Open,Bublik A.,Wolf J.
2026-08-31,US Open,Navone M.,Djokovic N.
2026-08-31,US Open,Li A.,Ruzic A.
2026-08-31,US Open,Joint M.,Samsonova L.
2026-08-31,US Open,Stephens S.,Tauson C.
2026-08-31,US Open,Cirstea S.,Grabher J.
2026-08-31,US Open,Noskova L.,Volynets K.
2026-08-31,US Open,McNally C.,Koevermans A.
2026-08-31,US Open,Shnaider D.,Snigur D.
2026-08-31,US Open,Parry D.,Golubic V.
2026-08-31,US Open,Podoroska N.,Waltert S.
2026-08-31,US Open,Anisimova A.,Krueger A.
2026-08-31,US Open,Townsend T.,Chwalinska M.
2026-08-31,US Open,Birrell K.,Marcinko P.
2026-08-31,US Open,Kalinskaya A.,Blinkova A.
2026-08-31,US Open,Timofeeva M.,Zidansek T.
2026-08-31,US Open,Selekhmeteva O.,Ito A.
2026-08-31,US Open,Navarro E.,Boisson L.
2026-08-31,US Open,Sabalenka A.,Osorio C.
2026-08-31,US Open,Bouzkova M.,Jacquemot E.
2026-08-31,US Open,Dart H.,Stearns P.
2026-08-31,US Open,Zheng Q.,Liutova K.
2026-08-31,US Open,Tagger L.,Korpatsch T.
2026-08-31,US Open,Muchova K.,Kraus S.
2026-08-31,US Open,Sakatsume H.,Kalinina A.
2026-08-31,US Open,Sawangkaew M.,Udvardy P.
2026-08-31,US Open,Bucsa C.,Bejlek S.
2026-08-31,US Open,Kenin S.,Williams V.
2026-08-31,US Open,Svitolina E.,Sierra S.
2026-09-01,US Open,Musetti L.,Fery A.
2026-09-01,US Open,Gea A.,Cerundolo J.
2026-09-01,US Open,Struff J.,Ugo Carabelli C.
2026-09-01,US Open,Bellucci M.,Piros Z.
2026-09-01,US Open,Cerundolo F.,Misolic F.
2026-09-01,US Open,Schoolkate T.,Basavareddy N.
2026-09-01,US Open,Sweeny D.,Moutet C.
2026-09-01,US Open,Fritz T.,Blanch D.
2026-09-01,US Open,Cobolli F.,Comesana F.
2026-09-01,US Open,Tiafoe F.,Damm M.
2026-09-01,US Open,Mensik J.,Mochizuki S.
2026-09-01,US Open,Shelton B.,Griekspoor T.
2026-09-01,US Open,Popyrin A.,Dimitrov G.
2026-09-01,US Open,Auger-Aliassime F.,Hijikata R.
2026-09-01,US Open,Tien L.,Borges N.
2026-09-01,US Open,Halys Q.,Diaz Acosta F.
2026-09-01,US Open,Bouzas Maneiro J.,Vidmanova D.
2026-09-01,US Open,Potapova A.,Semenistaja D.
2026-09-01,US Open,Oliynykova O.,Brantmeier R.
2026-09-01,US Open,Mertens E.,Quevedo K.
2026-09-01,US Open,Andreeva M.,Tjen J.
2026-09-01,US Open,Putintseva Y.,Bencic B.
2026-09-01,US Open,Sakkari M.,Montgomery R.
2026-09-01,US Open,Starodubtseva Y.,Seidel E.
2026-09-01,US Open,Rybakina E.,Frodin T.
2026-09-01,US Open,Lys E.,Knutson G.
2026-09-01,US Open,Bondar A.,Havlickova L.
2026-09-01,US Open,Keys M.,Korneeva A.
2026-09-01,US Open,Osaka N.,Zakharova A.
2026-09-01,US Open,Swiatek I.,Wang X.
2026-09-01,US Open,Siniakova K.,Cocciaretto E.
2026-09-06,US Open,Tien L.,Mensik J.
2026-09-06,US Open,Zverev A.,Tabilo A.
2026-09-05,US Open,Van De Zandschulp B.,Bergs Z.
2026-09-05,US Open,Gea A.,Zheng M.
2026-09-05,US Open,Darderi L.,Sweeny D.
2026-09-05,US Open,Khachanov K.,Bonzi B.
2026-09-05,US Open,Blockx A.,Cobolli F.
2026-09-05,US Open,Cerundolo F.,Fritz T.
2026-09-05,US Open,Shelton B.,Shapovalov D.
2026-09-05,US Open,Tiafoe F.,Vacherot V.
2026-09-05,US Open,Michelsen A.,Merida Aguilar D.
2026-09-04,US Open,Etcheverry T.,Navone M.
2026-09-04,US Open,Tsitsipas S.,Lehecka J.
2026-09-04,US Open,Alcaraz C.,Wu Y.
2026-09-04,US Open,Paul T.,Bublik A.
2026-09-04,US Open,Medvedev D.,Rinderknech A.
2026-09-04,US Open,Zverev A.,Halys Q.
2026-09-04,US Open,Zheng M.,Yunchaokete B.
2026-09-04,US Open,Tien L.,Monfils G.
2026-09-04,US Open,Gea A.,Svajda Z.
2026-09-04,US Open,Bergs Z.,De Jong J.
2026-09-04,US Open,Van De Zandschulp B.,De Minaur A.
2026-09-03,US Open,Bonzi B.,Buse I.
2026-09-03,US Open,Blockx A.,Trungelliti M.
2026-09-03,US Open,Cobolli F.,Schoolkate T.
2026-09-03,US Open,Tabilo A.,Popyrin A.
2026-09-03,US Open,Sweeny D.,Musetti L.
2026-09-03,US Open,Mensik J.,Rodionov J.
2026-09-03,US Open,Fritz T.,Bellucci M.
2026-09-03,US Open,Cerundolo F.,Struff J.
2026-09-03,US Open,Darderi L.,Svrcina D.
2026-09-03,US Open,Khachanov K.,Auger-Aliassime F.
2026-09-03,US Open,Alcaraz C.,Faria J.
2026-09-03,US Open,Paul T.,Prizmic D.
2026-09-03,US Open,Bublik A.,Mannarino A.
2026-09-03,US Open,Vacherot V.,Majchrzak K.
2026-09-03,US Open,Tiafoe F.,Sakamoto R.
2026-09-03,US Open,Navone M.,Berrettini M.
2026-09-03,US Open,Wu Y.,Duckworth J.
2026-09-03,US Open,Bergs Z.,Taberner C.
2026-09-03,US Open,Lehecka J.,Samuel T.
2026-09-02,US Open,De Jong J.,Passaro F.
2026-09-02,US Open,Tsitsipas S.,Harris L.
2026-09-02,US Open,Shapovalov D.,Van Assche L.
2026-09-02,US Open,Zheng M.,Marozsan F.
2026-09-02,US Open,De Minaur A.,Guerrieri A.
2026-09-02,US Open,Yunchaokete B.,Jodar R.
2026-09-02,US Open,Etcheverry T.,Fearnley J.
2026-09-02,US Open,Shelton B.,Hurkacz H.
2026-09-02,US Open,Buse I.,Giron M.
2026-09-02,US Open,Svajda Z.,Altmaier D.
2026-09-02,US Open,Van De Zandschulp B.,Choinski J.
2026-09-02,US Open,Bonzi B.,Molcan A.
2026-09-02,US Open,Medvedev D.,Gorzny S.
2026-09-02,US Open,Michelsen A.,Nakashima B.
2026-09-02,US Open,Merida Aguilar D.,Rublev A.
2026-09-02,US Open,Rinderknech A.,Munar J.
2026-09-02,US Open,Zverev A.,Sonego L.
2026-09-02,US Open,Monfils G.,Vallejo A.
2026-09-06,US Open,Osaka N.,Mertens E.
2026-09-06,US Open,Jovic I.,Eala A.
2026-09-06,US Open,Rybakina E.,Starodubtseva Y.
2026-09-05,US Open,Gauff C.,Bucsa C.
2026-09-05,US Open,Swiatek I.,Bouzkova M.
2026-09-05,US Open,Andreeva M.,Bartunkova N.
2026-09-05,US Open,Zheng Q.,Keys M.
2026-09-05,US Open,Potapova A.,Anisimova A.
2026-09-05,US Open,Kalinskaya A.,Svitolina E.
2026-09-04,US Open,Noskova L.,Li A.
2026-09-04,US Open,Navarro E.,Muchova K.
2026-09-04,US Open,Townsend T.,Shnaider D.
2026-09-04,US Open,Pegula J.,Fernandez L.
2026-09-04,US Open,Kostyuk M.,Alexandrova E.
2026-09-04,US Open,Cirstea S.,Paolini J.
2026-09-04,US Open,Sabalenka A.,Rakhimova K.
2026-09-04,US Open,Rybakina E.,Bouzas Maneiro J.
2026-09-04,US Open,Gauff C.,Badosa P.
2026-09-04,US Open,Jovic I.,Jones F.
2026-09-04,US Open,Starodubtseva Y.,Sakkari M.
2026-09-03,US Open,Andreeva M.,Lys E.
2026-09-03,US Open,Zheng Q.,Putintseva Y.
2026-09-03,US Open,Bucsa C.,Sakatsume H.
2026-09-03,US Open,Eala A.,Oliynykova O.
2026-09-03,US Open,Bartunkova N.,Maria T.
2026-09-03,US Open,Bouzkova M.,Dart H.
2026-09-03,US Open,Anisimova A.,Tagger L.
2026-09-03,US Open,Osaka N.,Siniakova K.
2026-09-03,US Open,Keys M.,Bondar A.
2026-09-03,US Open,Swiatek I.,Podoroska N.
2026-09-03,US Open,Mertens E.,Timofeeva M.
2026-09-03,US Open,Potapova A.,Jeanjean L.
2026-09-03,US Open,Noskova L.,Tararudee L.
2026-09-03,US Open,Svitolina E.,Joint M.
2026-09-03,US Open,Li A.,Vekic D.
2026-09-03,US Open,Sabalenka A.,Iatcenko P.
2026-09-03,US Open,Jovic I.,Frech M.
2026-09-03,US Open,Alexandrova E.,Birrell K.
2026-09-02,US Open,Maria T.,Ostapenko J.
2026-09-02,US Open,Kalinskaya A.,Wang X.
2026-09-02,US Open,Jones F.,Linette M.
2026-09-02,US Open,Muchova K.,Boulter K.
2026-09-02,US Open,Rakhimova K.,Selekhmeteva O.
2026-09-02,US Open,Bartunkova N.,Sherif M.
2026-09-02,US Open,Kostyuk M.,Stephens S.
2026-09-02,US Open,Navarro E.,McNally C.
2026-09-02,US Open,Badosa P.,Kasatkina D.
2026-09-02,US Open,Pegula J.,Kenin S.
2026-09-02,US Open,Townsend T.,Preston T.
2026-09-02,US Open,Cirstea S.,Parry D.
2026-09-02,US Open,Paolini J.,Stefanini L.
2026-09-02,US Open,Shnaider D.,Pliskova K.
2026-09-02,US Open,Fernandez L.,Sawangkaew M.
2026-09-02,US Open,Eala A.,Stoiana M.
2026-09-02,US Open,Gauff C.,Sonmez Z.
2026-09-02,US Open,Jeanjean L.,Rus A.
